decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
DJ9IE;N1IYH;18088.5;17M;18;2016-02-14 13:32;United States;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
W3OA;ED1R;21085.5;15M;21;2016-02-14 13:32;Spain;  EU;RTTY;NA;EU;United States;  NA;CQ
W3OA;YL6W;21091.9;15M;28;2016-02-14 13:32;Latvia;  EU;RTTY;NA;EU;United States;  NA;CQ
W3OA;W4GKM;14098.9;20M;15;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
W3OA;IT9DSZ;21084.7;15M;19;2016-02-14 13:32;Italy;  EU;RTTY;NA;EU;United States;  NA;CQ
W3OA;PD2PKM;14091.8;20M;20;2016-02-14 13:32;Netherlands;  EU;RTTY;NA;EU;United States;  NA;CQ
W3OA;VA7KO;7040.4;40M;19;2016-02-14 13:32;Canada;  NA;RTTY;NA;NA;United States;  NA;CQ
VE3/N2WQ;9A8FCC;14084.7;20M;37;2016-02-14 13:32;Croatia;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;GM4FDM;21105.27;15M;27;2016-02-14 13:32;England;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;NR4M;14083.14;20M;18;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;Canada;  NA;CQ
VE3/N2WQ;W4GKM;14098.85;20M;56;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;Canada;  NA;CQ
VE3/N2WQ;5P9X;21112.6;15M;10;2016-02-14 13:32;Denmark;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;VA7KO;7040.34;40M;21;2016-02-14 13:32;Canada;  NA;RTTY;NA;NA;Canada;  NA;CQ
VE3/N2WQ;IT9DSZ;21084.56;15M;21;2016-02-14 13:32;Italy;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;PD2GSP;14090.16;20M;14;2016-02-14 13:32;Netherlands;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;XE1CT;7061.05;40M;32;2016-02-14 13:32;Mexico;  NA;RTTY;NA;NA;Canada;  NA;CQ
VE3/N2WQ;F4KPW;21100.91;15M;19;2016-02-14 13:32;France;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;K7AB;21099.72;15M;31;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;Canada;  NA;CQ
VE3/N2WQ;F4FPW;21100.91;15M;18;2016-02-14 13:32;France;  EU;RTTY;NA;EU;Canada;  NA;CQ
PJ2A;SP6J;21048.9;15M;17;2016-02-14 13:32;Poland;  EU;CW;SA;EU;Curacao;  SA;CQ
PJ2A;G0EKP;28024.0;10M;4;2016-02-14 13:32;England;  EU;CW;SA;EU;Curacao;  SA;CQ
KP3Z;N1IYH;18088.6;17M;16;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
EI6BT;IK5FKF;14082.1;20M;16;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;PD2GSP;14090.2;20M;41;2016-02-14 13:32;Netherlands;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;HG6C;14095.4;20M;36;2016-02-14 13:32;Hungary;  EU;RTTY;EU;EU;Ireland;  EU;CQ
W4AX;N1IYH;18088.5;17M;8;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
LA6TPA;EV1R;14092.3;20M;20;2016-02-14 13:32;Belarus;  EU;RTTY;EU;EU;Norway;  EU;CQ
LA6TPA;F5RHD;21079.7;15M;28;2016-02-14 13:32;France;  EU;RTTY;EU;EU;Norway;  EU;CQ
LA6TPA;UX2X;21089.7;15M;22;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Norway;  EU;CQ
KO7SS;GM3W;14086.52;20M;26;2016-02-14 13:32;England;  EU;RTTY;NA;EU;United States;  NA;CQ
KO7SS;WN6K;7057.99;40M;34;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KO7SS;WP3E;21139.55;15M;6;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KO7SS;NA6MG;7041.42;40M;19;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KO7SS;K8SIA;7051.16;40M;24;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KO7SS;K3RA;21093.92;15M;9;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KO7SS;VA7KO;7040.36;40M;21;2016-02-14 13:32;Canada;  NA;RTTY;NA;NA;United States;  NA;CQ
SE0X;VE2GDI;21016.4;15M;7;2016-02-14 13:32;Canada;  NA;CW;EU;NA;Sweden;  EU;CQ
SE0X;9A2KD;7020.2;40M;15;2016-02-14 13:32;Croatia;  EU;CW;EU;EU;Sweden;  EU;CQ
SE0X;LZ5R;7005.8;40M;24;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Sweden;  EU;CQ
SE0X;PA5XM;14027.0;20M;19;2016-02-14 13:32;Netherlands;  EU;CW;EU;EU;Sweden;  EU;CQ
F1ZNS;VE2GDI;21016.3;15M;19;2016-02-14 13:32;Canada;  NA;CW;EU;NA;France;  EU;CQ
F1ZNS;RA/UY8MM;21014.0;15M;2;2016-02-14 13:32;European Russia;  EU;CW;EU;EU;France;  EU;CQ
F1ZNS;DM1A;14080.1;20M;13;2016-02-14 13:32;Fed. Rep. of Germany;  EU;RTTY;EU;EU;France;  EU;CQ
F1ZNS;N1IYH;18088.5;17M;15;2016-02-14 13:32;United States;  NA;CW;EU;NA;France;  EU;CQ
F1ZNS;NV1Q;21088.7;15M;29;2016-02-14 13:32;United States;  NA;RTTY;EU;NA;France;  EU;CQ
UZ2HZ;EG3TOR;28032.0;10M;47;2016-02-14 13:32;Spain;  EU;CW;EU;EU;European Russia;  EU;CQ
UZ2HZ;F5BCZ;28028.0;10M;43;2016-02-14 13:32;France;  EU;CW;EU;EU;European Russia;  EU;CQ
OZ5W;VE2GDI;21016.3;15M;20;2016-02-14 13:32;Canada;  NA;CW;EU;NA;Denmark;  EU;CQ
HA1VHF;LZ5R;7005.8;40M;36;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Hungary;  EU;CQ
HA1VHF;9A1700SBD;14016.4;20M;14;2016-02-14 13:32;Croatia;  EU;CW;EU;EU;Hungary;  EU;CQ
HA1VHF;PA5XM;14027.0;20M;20;2016-02-14 13:32;Netherlands;  EU;CW;EU;EU;Hungary;  EU;CQ
HA1VHF;YU1AHW;7036.5;40M;28;2016-02-14 13:32;Serbia;  EU;CW;EU;EU;Hungary;  EU;CQ
HA1VHF;YO3AAJ;7016.0;40M;34;2016-02-14 13:32;Romania;  EU;CW;EU;EU;Hungary;  EU;CQ
DF4UE;F5NJF;7004.0;40M;4;2016-02-14 13:32;France;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;RW0A;7050.22;40M;10;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;YU1AHW;7036.5;40M;10;2016-02-14 13:32;Serbia;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;LZ5R;7005.8;40M;16;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;YO3AAJ;7016.0;40M;18;2016-02-14 13:32;Romania;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
K1TTT;NA6MG;7041.4;40M;17;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
K1TTT;VA7KO;7040.4;40M;23;2016-02-14 13:32;Canada;  NA;RTTY;NA;NA;United States;  NA;CQ
K1TTT;NV1Q;21088.7;15M;24;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
K1TTT;LN5O;14110.0;20M;39;2016-02-14 13:32;Norway;  EU;RTTY;NA;EU;United States;  NA;CQ
K1TTT;KB8GAE;7042.6;40M;37;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
K1TTT;W6KY;7059.7;40M;8;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
K1TTT;OZ11A;14103.1;20M;36;2016-02-14 13:32;Denmark;  EU;RTTY;NA;EU;United States;  NA;CQ
K1TTT;ON3DWG;14098.4;20M;12;2016-02-14 13:32;Belgium;  EU;RTTY;NA;EU;United States;  NA;CQ
ES5TO;EG3TOR;28031.9;10M;29;2016-02-14 13:32;Spain;  EU;CW;EU;EU;Estonia;  EU;CQ
ON6ZQ;F5NJF;7004.0;40M;20;2016-02-14 13:32;France;  EU;CW;EU;EU;Belgium;  EU;CQ
ON6ZQ;LZ5R;7005.8;40M;14;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Belgium;  EU;CQ
N7TR;NA6MG;7041.4;40M;43;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
N7TR;W4GKM;14099.0;20M;15;2016-02-14 13:32;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
EA5WU;F5NJF;7004.0;40M;10;2016-02-14 13:32;France;  EU;CW;EU;EU;Spain;  EU;CQ
EA5WU;9A1ZZ;18074.0;17M;34;2016-02-14 13:32;Croatia;  EU;CW;EU;EU;Spain;  EU;CQ
EA5WU;IK5FKF;14082.1;20M;30;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;PD2GSP;14090.2;20M;10;2016-02-14 13:32;Netherlands;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;W4GKM;21085.1;15M;27;2016-02-14 13:32;United States;  NA;RTTY;EU;NA;Spain;  EU;CQ
EA5WU;LZ2JA;21098.0;15M;37;2016-02-14 13:32;Bulgaria;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;N1IYH;18088.5;17M;23;2016-02-14 13:32;United States;  NA;CW;EU;NA;Spain;  EU;CQ
EA5WU;K3LU;28007.0;10M;27;2016-02-14 13:32;United States;  NA;CW;EU;NA;Spain;  EU;CQ
EA5WU;R8VK;21082.0;15M;17;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;LX7I;14090.6;20M;14;2016-02-14 13:32;Luxembourg;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;UA3RF;21082.6;15M;35;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Spain;  EU;CQ
KM3T;RL2D;14087.68;20M;32;2016-02-14 13:32;European Russia;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;PD2GSP;14090.23;20M;13;2016-02-14 13:32;Netherlands;  EU;RTTY;NA;EU;United States;  NA;CQ
